Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002194;;75010;11;3;AP HP;DEMOLITION_IMMEUBLE;Démolition des murs d'enceintes;Rue de Maubeuge;Des N° 109 aux N° 113;2021-11-22;2022-01-04;SENS_UNIQUE;;2;4;;"{""coordinates"": [[[2.355379911910719, 48.883925816614365], [2.3554371843170863, 48.88390196809197], [2.354685270867993, 48.882507578047026], [2.354619794286861, 48.88253675010856], [2.355379911910719, 48.883925816614365]]], ""type"": ""Polygon""}";48.88320104300373,2.3550213201686185
CP002235;555907;75002;11;3;Rue de la Paix Paris SNC;REHABILITATION_IMMEUBLE;Travaux de curage Batiment;Rue de la Paix;Au N°12;2022-02-07;2022-06-04;RESTREINTE;Maintien de 3.50m dans chaque sens.;2;2;;"{""coordinates"": [[[2.33136398955409, 48.869221540746146], [2.331214450543386, 48.86906936744337], [2.331133653954132, 48.86912554848895], [2.331277581443633, 48.86926531647525], [2.331363262332491, 48.869222012436026], [2.33136398955409, 48.869221540746146]]], ""type"": ""Polygon""}";48.869169554306666,2.331247282134994
CP002265;;75008;9;2;CLIMESPACE;RACCORDEMENT_RESEAU;Raccordement Client 22 Treilhard;Place de Narvick;;2022-05-23;2022-06-03;RESTREINTE;Emprise dans l'anneau. Impact sur la circulation au moment de l'entrée et sortie;2;1;;"{""coordinates"": [[[2.31281979257742, 48.87657369139612], [2.312820513792969, 48.87657369553618], [2.312837276727424, 48.87656094200906], [2.312849077676657, 48.876541497695584], [2.312846624653203, 48.87650864695796], [2.31281090462854, 48.876481790907555], [2.312760503728843, 48.87647388776917], [2.3127221603680113, 48.87648175719012], [2.312692304723474, 48.87650252598318], [2.312682637342839, 48.87652436128325], [2.312685880547051, 48.87655198240965], [2.312719455753138, 48.87657739803195], [2.312777748883206, 48.87658867854386], [2.31281979257742, 48.87657369139612]]], ""type"": ""Polygon""}";48.87653049231849,2.3127663175136006
CP002292;;75008;9;1;STV;REFECTION_CHAUSSEE;Réfection du pavage;Rue Royal;coté impair de la rue du Fbg Saint Honoré à la Place de la Madeleine;2022-05-02;2022-05-27;RESTREINTE;Neutralisation du couloir de bus;2;1;;"{""coordinates"": [[[2.323645568803941, 48.86917628667789], [2.323714939382671, 48.86916057410961], [2.323267302414253, 48.86854070103503], [2.3231895852906153, 48.86857247160851], [2.323193652925912, 48.8685724946096], [2.323645568803941, 48.86917628667789]]], ""type"": ""Polygon""}";48.86885289921109,2.323448419236041
CP002305;607775;75009;11;2;Eau de Paris;ENTRETIEN_RESEAU;Zone de désamiantage pour les travaux du 44 et 70 Haussmann.;Rue Halévy;Au N°2;2022-05-09;2022-11-30;RESTREINTE;;2;1;;;
CP002311;;75005;;1;STV;REFECTION_CHAUSSEE;Remise en état de la voirie suite à l'incendie du Bus;bd St Germain;Au 51;2022-05-16;2022-06-07;RESTREINTE;Neutralisation du couloir Bus;2;1;;"{""coordinates"": [[[[2.347544935724324, 48.850247954285635], [2.347618204184758, 48.85028077022366], [2.347887656219972, 48.8502144213357], [2.347859245670001, 48.85017976356299], [2.347588005869028, 48.85024491189155], [2.347544935724324, 48.850247954285635]]], [[[2.347541090690424, 48.850248225608816], [2.347544935724324, 48.850247954285635], [2.347542908403282, 48.8502470456722], [2.347541090690424, 48.850248225608816]]]], ""type"": ""MultiPolygon""}";48.850232020108585,2.347727130410587
CP002156;432237;75014;12;3;Hopital St Anne;CONSTRUCTION_IMMEUBLE;;Rue d'Alésia;Au N°2;2021-09-27;2023-10-31;RESTREINTE;Barrage de la contre allée;2;2;;"{""coordinates"": [[[[2.336840870375747, 48.827340517859064], [2.338283320980389, 48.82711556942534], [2.338210939340991, 48.82701795172333], [2.336752701461381, 48.82724071349103], [2.336702212867174, 48.82737464379105], [2.336816104183031, 48.827369906143666], [2.336840870375747, 48.827340517859064]]], [[[2.338283320980389, 48.82711556942534], [2.338286882024942, 48.82712037111259], [2.338286950158202, 48.827115003112816], [2.338283320980389, 48.82711556942534]]]], ""type"": ""MultiPolygon""}";48.82718796138349,2.3374730379096964
CP001671;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Marengo;n°1;2020-06-29;2024-06-30;RESTREINTE;Modification de s files de circulation;2;2;;"{""coordinates"": [[[2.339184393412101, 48.861658039029976], [2.339061389585607, 48.86168829374776], [2.339170525908401, 48.86189829527489], [2.339232057554023, 48.861880788366435], [2.339288331746808, 48.86185135492416], [2.339184393412101, 48.861658039029976]]], ""type"": ""Polygon""}";48.86177614196931,2.33917639150336
CP001838;329624;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;rue Vernet;entre Bassano et Galilée;2021-02-11;2023-03-31;;;;2;;"{""coordinates"": [[[2.298873019483953, 48.87180408982155], [2.299961652546027, 48.8714559131055], [2.299940794887797, 48.87139749292987], [2.298815901081781, 48.87175973414693], [2.298873019483953, 48.87180408982155]]], ""type"": ""Polygon""}";48.87160303728942,2.2994012339405177
CP001736;;75002;11;3;82/92 Réaumur;TRAVAUX_OUVRAGE;Rénovation marquise;Rue de Réaumur;82/92 et retours;2020-09-28;2022-05-27;RESTREINTE;Neutralisation d'une file sur la rue de Réaumur;2;2;;"{""coordinates"": [[[2.349577621977665, 48.867009081788204], [2.349613687180298, 48.86700927777437], [2.349655816085154, 48.86695715684271], [2.351050120960455, 48.86664587011991], [2.351112983399991, 48.866666436277335], [2.351144642771483, 48.86673085518729], [2.351200721486927, 48.86671688212312], [2.351119608699181, 48.866568912352186], [2.349553445342028, 48.86692328708055], [2.349555248735451, 48.866923296881204], [2.349557052128874, 48.86692330668184], [2.349577621977665, 48.867009081788204]]], ""type"": ""Polygon""}";48.86676944548814,2.35039175585892
CP000939;;75019;10;2;RATP L11;TRAVAUX_OUVRAGE;Adaptation de la station Télégraphe dans le cadre du prolongement de la L11.;Rue de Belleville;entre rue Compans et rue du Docteur Potain.;2018-10-25;2022-04-30;RESTREINTE;Maintien d'une file par sens;2;2;;"{""coordinates"": [[[2.397899421917581, 48.875654087871794], [2.397897484840709, 48.875483516287204], [2.396096717544042, 48.87534934641613], [2.396079112539204, 48.875445345821426], [2.3969083061660212, 48.875518869184546], [2.396901899936585, 48.87559724604566], [2.397899421917581, 48.875654087871794]]], ""type"": ""Polygon""}";48.87550218331863,2.39710765749235
CP001828;;75009;11;3;Pathé;REHABILITATION_IMMEUBLE;;bd des Capucines /rue de la Chaussée d'Antin;n°2/4,n°1 au n°3bis;2021-01-29;2023-12-29;RESTREINTE;mise à sens unique de la rue de la Chaussée d'Antin depuis le bd des Capucines vers et jusqu'à la rue Meyerbeer. Mise à sens unique de la rue Meyerbeer depuis la place Jacques Rouché vers et jusqu'à la rue de la Chaussée d'Antin.;1;2;;"{""coordinates"": [[[2.334146329823834, 48.87099769394828], [2.333534288323672, 48.87086990608287], [2.33348365788784, 48.87100925859056], [2.333673178805307, 48.87104621996545], [2.333864006335342, 48.8710734574379], [2.33394076317491, 48.871135751156146], [2.333747910819046, 48.87154871284911], [2.3337687912347, 48.8716083168636], [2.333757484336692, 48.871646326619214], [2.333751571518258, 48.87168555532487], [2.333820087315403, 48.871687126497385], [2.334146329823834, 48.87099769394828]]], ""type"": ""Polygon""}";48.87117272702831,2.333851122649456
CP002280;;75005;12;1;VDP - SAGP;REAMENAGEMENT_VOIRIE;Semi-Pérennisation piste cyclable;Couloir Bus neutralisée;Sens Pont St Michel vers Port Royal;2022-04-11;2022-04-22;RESTREINTE;"Couloir Bus neutralisé > Renvoi dans la circulation général (chantier à l'avancement)
Chantier de nuit (22h-6h)";2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/PV de ROC Boulevard Saint Michel SAGP.pdf;"{""coordinates"": [[[2.337290460238262, 48.84080512418959], [2.338713845098157, 48.843409114738776], [2.340352630915611, 48.846381911817595], [2.3410350010113072, 48.84758973093834], [2.342587680414993, 48.850120603345836], [2.342805813879739, 48.85055012143888], [2.343278375878282, 48.8515342810606], [2.344101747576454, 48.85329609458916], [2.344161374637827, 48.85328571371207], [2.343311634245313, 48.85147021539835], [2.342790037658511, 48.850371568174374], [2.341589268684618, 48.84838041604919], [2.341018825563363, 48.84744329895522], [2.339774309814919, 48.84521630472027], [2.337882044915445, 48.841769748292606], [2.337399331298156, 48.840890202863164], [2.337399316172497, 48.8408913926396], [2.337290460238262, 48.84080512418959]]], ""type"": ""Polygon""}";48.84702814361141,2.340778643453653
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2023-12-29;RESTREINTE;Réduction de la circulation selon les phases;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Panneau DVD Paris_QUAI IVRY.pdf;"{""coordinates"": [[[2.386040410939927, 48.827260459509624], [2.389009733862188, 48.82510049591564], [2.381913601308459, 48.82268480304112], [2.37972501346501, 48.824789551026136], [2.382560534273685, 48.82574947645587], [2.386040410939927, 48.827260459509624]]], ""type"": ""Polygon""}";48.82494558096006,2.384284439827766
CP002099;;75004;11;2;EDP;ENTRETIEN_RESEAU;remplacement de canalisation;rue de rivoli;du n°14 au n°18;2021-08-23;2022-04-29;RESTREINTE;neutralisation de la coronapiste avec ouverture à la circulation générale.;2;2;;"{""coordinates"": [[[2.360024338336263, 48.85552542631059], [2.359935286037142, 48.855490056964655], [2.359294637003482, 48.855655727114495], [2.359330451555532, 48.85572033850478], [2.360056646094993, 48.85554438834565], [2.360020270340942, 48.85552540455361], [2.360024338336263, 48.85552542631059]]], ""type"": ""Polygon""}";48.85560081149398,2.3596644208720683
CP002229;529792;75019;10;1;DVD/SD;REAMENAGEMENT_VOIRIE;Aménagement Quai bus en faveur des PMR;Rue de l'Ourcq;N°67;2022-02-21;2022-03-04;SENS_UNIQUE;Rue de l'Ourcq sera mise à sens unique de la rue de L'Aisne vers l'Avenue de Flandre;2;2;;"{""coordinates"": [[[2.379389742966501, 48.89210819086554], [2.379461498543224, 48.892143065129666], [2.37961580188038, 48.89206415343474], [2.3795858124658382, 48.89200689035706], [2.379585826642399, 48.89200570063038], [2.379389742966501, 48.89210819086554]]], ""type"": ""Polygon""}";48.89207919480012,2.3795124444670885
CP002293;;75008;9;1;STV;REFECTION_CHAUSSEE;Réfection du pavage;Rue Royal;coté pair du N°16 au N° 22;2022-05-30;2022-06-24;RESTREINTE;Neutralisation du couloir de bus;2;1;;"{""coordinates"": [[[2.323475413191046, 48.86849356384715], [2.32371533185934, 48.86881701169467], [2.323776669787403, 48.8687932018748], [2.323532648372582, 48.8684724146002], [2.323475413191046, 48.86849356384715]]], ""type"": ""Polygon""}";48.86864620309965,2.32362661773172
CP002241;;75012;14;2;RATP HTA;CREATION_RESEAUX;Prolongement ligne 11;Rue de Lyon;Angle avenue Ledru Rollin;2022-02-07;2022-03-21;RESTREINTE;Travaux en 3 phases. Maintien de 3.50m dans chaque sens;1;2;;"{""coordinates"": [[[2.371583336564358, 48.847980938471125], [2.371645859223479, 48.84785511233483], [2.37135864314746, 48.8477274489927], [2.371264136675122, 48.84780747716792], [2.371579302876042, 48.84797823360471], [2.371583336564358, 48.847980938471125]]], ""type"": ""Polygon""}";48.84784661831563,2.371467257130873
CP002113;423774;75007;12;3;SAS 40 rue des Sts Pères;REHABILITATION_IMMEUBLE;;40 rue des Sts-Pères;juste avant le bd St Germain;2021-07-12;2022-12-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.3305087410876553, 48.85470384122318], [2.330597271667161, 48.8548958307216], [2.33065580837902, 48.85488368952832], [2.330574247997891, 48.85468380316092], [2.3305087410876553, 48.85470384122318]]], ""type"": ""Polygon""}";48.854789293372434,2.3305830937444014
CP001996;;75013;14;2;RATP;TRAVAUX_OUVRAGE;Création d'une sortie mécanisée, phase1.;place d'Italie /Carrefour Blanqui;sur le terre- plein.;2021-07-15;2022-03-31;RESTREINTE;Maintien de trois files de circulation sur la place d'Italie au droit de l'emprise;2;2;;"{""coordinates"": [[[2.354436686898329, 48.83116720498007], [2.354708073415293, 48.83124919474142], [2.354829903074376, 48.83126058869136], [2.354945926774183, 48.8310840581258], [2.354549011188845, 48.83096112933994], [2.354416924227356, 48.83112146689531], [2.354436686898329, 48.83116720498007]]], ""type"": ""Polygon""}";48.83111868993894,2.354675072745107
CP002312;614005;75010;11;1;MDP-DVD-SD - Transports;REAMENAGEMENT_VOIRIE;Aménagement PMR Bus;Bus;Emprise située au 27-29 boulevard de Magenta sur trottoir et chaussée;2022-05-16;2022-06-10;RESTREINTE;Déviation des bus et vélos dans la circulation générale;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/PV de ROC 27-58 Bd Magenta - citÃ© 614005.pdf;"{""coordinates"": [[[2.360332331415775, 48.871310224160496], [2.360436051446733, 48.871323627248564], [2.360592581405227, 48.87114885597944], [2.360500643612102, 48.871116003921976], [2.360500631931086, 48.871116955359824], [2.360332331415775, 48.871310224160496]]], ""type"": ""Polygon""}";48.87122394620273,2.3604652753193682
CP002304;607775;75009;11;2;Eau de Paris;ENTRETIEN_RESEAU;Base vie pour les travaux du 44 et 70 bd Haussmann;Rue Gluck;En vis-à-vis du 4 au 8;2022-05-09;2022-11-30;RESTREINTE;;2;1;;"{""coordinates"": [[[2.332161532482534, 48.8725171497432], [2.332159166237175, 48.8725131740486], [2.332162753111409, 48.87251477689938], [2.332152004057031, 48.872509172495114], [2.331711228297643, 48.87275180150182], [2.3317600082225702, 48.87279172842794], [2.332163340594836, 48.87256316737375], [2.332161532482534, 48.8725171497432]]], ""type"": ""Polygon""}";48.87265471305483,2.3319444489558276
CP002244;554286;75010;11;1;STV;REAMENAGEMENT_VOIRIE;Aménagement de CF- Pose de SLT;Rue de Belzuce / rue de Rocroy;Au N°20 / Au N° 13;2022-02-07;2022-03-30;RESTREINTE;;2;4;;"{""coordinates"": [[[2.350849684956355, 48.879458176749196], [2.350846057427045, 48.8794597515962], [2.350854443302564, 48.87946137899378], [2.350924690352634, 48.87951886750146], [2.350764280276302, 48.87955607003909], [2.350762448021877, 48.87960602882132], [2.350894871534374, 48.87959564643127], [2.35090868590914, 48.87954813224764], [2.350997901201043, 48.8795295797553], [2.350947175166357, 48.87945156643576], [2.350849684956355, 48.879458176749196]]], ""type"": ""Polygon""}";48.87953534795472,2.350880535706595
CP002247;583810;75010;11;2;RATP HTA;CREATION_RESEAUX;Tirage de câbles renforcement de réseau;Boulevard de Magenta;sur trottoir et traversées de carrefours des N° 114 au 132;2022-03-14;2022-06-06;RESTREINTE;Travaux par phases dans les carrefours;2;4;;"{""coordinates"": [[[2.353824991828829, 48.87894849349179], [2.352099751766008, 48.88083495679312], [2.352083334180841, 48.8808456086591], [2.352188781225135, 48.88087840232959], [2.353865502446473, 48.878964823692094], [2.353824991828829, 48.87894849349179]]], ""type"": ""Polygon""}";48.880036501958486,2.3528784259106086
CP000949;;75014;12;3;Unibail;REHABILITATION_IMMEUBLE;;13-35 rue du Commandant René Mouchotte;;2018-11-05;2022-02-28;RESTREINTE;Maintien d'une file de 3,5m par sens.;2;2;;"{""coordinates"": [[[2.320632025024262, 48.83881550056989], [2.319737397665429, 48.83804667662745], [2.319493893063302, 48.83815973810068], [2.320315704908512, 48.838852228982105], [2.3205491256086512, 48.83885468557592], [2.320632025024262, 48.83881550056989]]], ""type"": ""Polygon""}";48.8384715478698,2.3200515888974627
CP001470;371110;75008;9;2;SNCF Réseau EOLE;TRAVAUX_OUVRAGE;Mise en place d'une station de dessablage des boues de forage;Boulevard Haussmann;Du N° 98 au N° 102;2019-08-12;2021-12-31;RESTREINTE;Neutralisation du couloir de bus;2;4;;"{""coordinates"": [[[2.322606772938305, 48.874459865712204], [2.322584208810473, 48.874391922426994], [2.321978924405855, 48.874472967815514], [2.322001487767527, 48.87454091210909], [2.322606772938305, 48.874459865712204]]], ""type"": ""Polygon""}";48.87446641711201,2.3222928478400053
CP001887;337073;75014;12;3;Préfecture de Police;REHABILITATION_IMMEUBLE;Travaux de réhabilitation du Commissariat du 14ème;avenue du Maine;Du N°112 au N°116;2021-03-23;2023-01-25;RESTREINTE;Neutralisation du Couloir Bus;2;2;;"{""coordinates"": [[[2.323152295375833, 48.83635600956667], [2.323283563883393, 48.836379358867994], [2.323331827236553, 48.83627136031913], [2.323396598849045, 48.83628005579343], [2.323519635996548, 48.835965455814204], [2.323319946253295, 48.835936961128596], [2.323152310813689, 48.836354820686516], [2.323154097706642, 48.83635601976542], [2.323152295375833, 48.83635600956667]]], ""type"": ""Polygon""}";48.83614719898283,2.323335607738174
CP002270;584756;75015;13;1;MV;REAMENAGEMENT_VOIRIE;Pérennisation Piste cyclable;bd Pasteur;Entre bd de Vaugirard et Place des cinq Martyrs du Lycée Buffon;2022-02-28;2022-04-15;RESTREINTE;;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Pasteur.pdf;"{""coordinates"": [[[2.315099631516558, 48.840585646523564], [2.315099596241196, 48.84058833093406], [2.315141033411, 48.84052951659216], [2.315207748806765, 48.840403742415795], [2.315454572387171, 48.840187737444445], [2.315623819166901, 48.8399954451554], [2.316051483089539, 48.839632844776155], [2.3167716631883453, 48.8389793384722], [2.316702752915441, 48.83896283986052], [2.316184026543924, 48.839448394704334], [2.315542391766094, 48.84000303220918], [2.315010529427563, 48.840558294708636], [2.315099631516558, 48.840585646523564]]], ""type"": ""Polygon""}";48.839767703602156,2.3158678511393784
CP002301;593596;75015;13;1;DVD;REAMENAGEMENT_VOIRIE;Mise en conformité PMR Bus;Rue de Vouillé;Au N°2;2022-04-25;2022-05-13;RESTREINTE;;2;1;;"{""coordinates"": [[[2.303255338420362, 48.835211059996396], [2.302915211490363, 48.835307593764874], [2.302956736093252, 48.83532925163444], [2.303274438646915, 48.835238299048896], [2.303254611418935, 48.83521153152991], [2.303255338420362, 48.835211059996396]]], ""type"": ""Polygon""}";48.835271676033486,2.3030993791718766
CP002245;569239;75010;11;3;VL REMOV C;REHABILITATION_IMMEUBLE;;Rue Jacques Louvel Tessier;Du 24 au 26;2022-03-14;2022-08-23;RESTREINTE;;2;2;;"{""coordinates"": [[[[2.370578594762427, 48.87136757282985], [2.370593160353002, 48.87131996654685], [2.370309727478914, 48.87122974178916], [2.370255058117935, 48.87127624761277], [2.370578594762427, 48.87136757282985]]], [[[2.370593160353002, 48.87131996654685], [2.370594572763026, 48.87132041644783], [2.370593615943774, 48.87131847963958], [2.370593160353002, 48.87131996654685]]], [[[2.370594572763026, 48.87132041644783], [2.370594795010479, 48.87132086548658], [2.370596004192973, 48.871320871844816], [2.370594572763026, 48.87132041644783]]]], ""type"": ""MultiPolygon""}";48.87129738177556,2.3704290304692544
CP002307;624066;75007;12;2;RATP;ENTRETIEN_RESEAU;Renforcement réseaux RATP HTA;Bus et piste cyclable;"Rue de Sèvres
E2: Traversée chaussée en 2 phases
E3: Emprise coté impair (du 149 au 141)
E4: Emprise coté pair (face au 147-147bis)";2022-05-16;2022-06-06;RESTREINTE;"Coté pair : voies VL + Bus et + piste cyclable neutralisés (du 16 au 30/05)
Coté impair : Voie Bus neutralisée";2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/8013E085___v4.pdf;"{""coordinates"": [[[2.314307862317315, 48.846168819010174], [2.316330914858601, 48.84679187282137], [2.316386021493428, 48.84671366167075], [2.314364443088403, 48.84608459504562], [2.314305619179378, 48.84617111212102], [2.314307862317315, 48.846168819010174]]], ""type"": ""Polygon""}";48.84643625973112,2.3153360977769064
CP002267;584756;75015;13;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation Piste cyclable;Bd Pasteur;Entre rue de Vaugirard et Place Henri Queuille;2022-02-28;2022-04-15;RESTREINTE;Maintien de 4.00m;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Pasteur.pdf;"{""coordinates"": [[[2.312768644969014, 48.84311652193111], [2.312666455209595, 48.84315619765], [2.311570298971742, 48.84455639506001], [2.311719623540885, 48.84464314719314], [2.311797220867661, 48.84523410823416], [2.311821690689647, 48.84522888069059], [2.311767995540265, 48.84467563532878], [2.311732212086455, 48.844613694372704], [2.311639569518885, 48.844546057042635], [2.312776813004003, 48.843113885145875], [2.312764507179971, 48.84312186647557], [2.312768644969014, 48.84311652193111]]], ""type"": ""Polygon""}";48.84403360777532,2.312092042155408
CP002116;417442;75016;13;1;DCPA;TRAVAUX_OUVRAGE;Base-vie provisoire pour la DPE.;4-6 av d'Eylau;;2021-06-14;2022-03-20;SENS_UNIQUE;depuis la place de Mexico vers la place du Trocadéro.;1;2;;"{""coordinates"": [[[2.286103217707599, 48.8636484064129], [2.285508757110308, 48.864040314696716], [2.285569997542675, 48.86408373765012], [2.28617478552933, 48.86368961801346], [2.286103217707599, 48.8636484064129]]], ""type"": ""Polygon""}";48.86386382032937,2.2858419052434624
CP000412;;75002;11;3;OPPIC;REHABILITATION_IMMEUBLE;Réhabilitation de la BNF;rue des Petits Champs;n°8;2017-09-22;2022-08-31;RESTREINTE;fermeture de la rue Feuillade et la rue des Petits champs depuis la place des victoires jusqu'à la rue saint Anne, sauf riverains, bus et desserte locale;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2017_09_Vivienne_2eme_BNF.pdf;"{""coordinates"": [[[2.338609058863526, 48.86640952093514], [2.338569916058014, 48.86636766317272], [2.33807247681959, 48.86648626883535], [2.33814054757423, 48.866522337568824], [2.33860724038438, 48.86641070071882], [2.338609058863526, 48.86640952093514]]], ""type"": ""Polygon""}";48.86644648077855,2.3383475835687464
CP002224;507036;75015;13;2;Eau de Paris;ENTRETIEN_RESEAU;;Rue de Vouillé;Sous le Pont;2021-11-23;2022-09-16;RESTREINTE;Maintien de 3,20m dans chaque sens;2;2;;"{""coordinates"": [[[2.310342233320505, 48.83313658944762], [2.310407165180502, 48.83314590181515], [2.310919279267784, 48.83295379349207], [2.310814165269882, 48.83290846916405], [2.310288158743756, 48.83312731177386], [2.310350388207058, 48.83313483772117], [2.310342233320505, 48.83313658944762]]], ""type"": ""Polygon""}";48.833028784052146,2.3106187036899453
CP001822;;75018;9;3;Elogie SIEMP;CONSTRUCTION_IMMEUBLE;;bd Barbès;;2021-03-01;2022-09-30;RESTREINTE;Neutralisation du couloir bus. Maintien d'une file de circulation de 4m intégrant les vélos.;2;2;;"{""coordinates"": [[[2.349691877727816, 48.88424866127925], [2.3495511001175062, 48.8842538456193], [2.349555189589001, 48.8843597548167], [2.349690540636348, 48.884355730808366], [2.349691877727816, 48.88424866127925]]], ""type"": ""Polygon""}";48.88430414499714,2.3496222782670824
CP002278;;75008;9;2;Climespace;ENTRETIEN_RESEAU;Inspection de réseau suite à un affaissement de chaussée;avenue des Champs Elysées;du 103 au 109;2022-04-25;2022-05-20;RESTREINTE;Travaux en 2 phases. Maintien de 2 X 2 voies dans chaque sens;2;1;;"{""coordinates"": [[[2.300086742256715, 48.872194410566784], [2.300072244034041, 48.872111042076284], [2.300070125311402, 48.87208882938931], [2.299734388877892, 48.872198702701326], [2.299761782534501, 48.872307523444], [2.300083147036663, 48.87219360441751], [2.300086742256715, 48.872194410566784]]], ""type"": ""Polygon""}";48.87219749172578,2.299910649791632
CP002282;;75008;9;2;Climespace;RACCORDEMENT_RESEAU;Raccordement réseau Climespace depuis chaussée + trottoir vers limite privative;coté droit de la chaussée;Au n°38 rue Marboeuf au droit de la bijouterie HARB'S;2022-05-23;2022-06-24;RESTREINTE;Déviations des véhicules et de la piste cyclable (à contre sens) en neutralisant le stationnement en face de l'emprise;2;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/PV ROC 38 rue Marbeuf.pdf;"{""coordinates"": [[[2.305765086683929, 48.86971302806072], [2.305567934052408, 48.869620510028206], [2.305549488259229, 48.8696513368823], [2.305608826000909, 48.869691657029804], [2.305727834291739, 48.86974755278441], [2.305727840632306, 48.86974707706767], [2.305765086683929, 48.86971302806072]]], ""type"": ""Polygon""}";48.869686028681066,2.3056548359983635
CP002170;446542;75009;11;3;SAS 59-61 La Fayette;REHABILITATION_IMMEUBLE;;Rue Cadet;entre les rues La Fayette et Lamartine.;2021-10-25;2023-09-29;RESTREINTE;Maintien d'une file de 3,5m.;2;2;;"{""coordinates"": [[[2.3441326883012312, 48.87649038660424], [2.344176004905844, 48.87648824427787], [2.344220026894148, 48.87643018779931], [2.344236498690985, 48.87641124179128], [2.34390698201092, 48.87607987548709], [2.343860103280734, 48.8760784287256], [2.343798676324305, 48.876086420771806], [2.344162190688341, 48.87643938862382], [2.344167347181952, 48.87645964293588], [2.3441326883012312, 48.87649038660424]]], ""type"": ""Polygon""}";48.8762633224641,2.3440317697883013
CP002288;;75014;12;2;RATP HTA;CREATION_RESEAUX;"Déploiement réseau HTA ligne 14
Phase2";Rue de la Cité universitaire;Depuis le 45 rue Gazan jusqu'au bd Jourdan;2022-06-17;2022-08-31;SENS_UNIQUE;Rue de la cité Universitaire depuis rue Liard vers le bd Jourdan;2;1;;"{""coordinates"": [[[2.34092885207598, 48.821584000799824], [2.3410100448387, 48.82159250043189], [2.3416494270672032, 48.819888865858005], [2.341547645115308, 48.819901726894734], [2.340932847790613, 48.819981550625364], [2.340932406760984, 48.820016442405056], [2.341429230742202, 48.81994402204197], [2.341505745676585, 48.82000081218033], [2.34092885207598, 48.821584000799824]]], ""type"": ""Polygon""}";48.82062344274527,2.3412891871682904
CP001848;;75012;15;1;SAP;TRAVAUX_OUVRAGE;Travaux pour le bassin d'Austerlitz;Voie Mazas;;2021-02-23;2023-06-30;RESTREINTE;Neutralisation de plusieurs files de circulation, selon le phasage.;1;2;;"{""coordinates"": [[[2.366500585283584, 48.845539520359495], [2.366674501179357, 48.845618281559865], [2.367273757540404, 48.84516514830218], [2.367888846181722, 48.844746988911076], [2.367764022031064, 48.84464433206504], [2.367120239267621, 48.84508112757091], [2.366500585283584, 48.845539520359495]]], ""type"": ""Polygon""}";48.84513644575862,2.367192572679895
CP002199;458502 /458514;75014;12;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement de conduite;Avenue Reille;Entre René Coty et avenue de la sibelle;2021-12-02;2022-06-24;SENS_UNIQUE;Mise à sens unique depuis avenue René Coty vers rue de la Sibelle;1;2;;"{""coordinates"": [[[2.338285440822663, 48.824468811796386], [2.338294115630374, 48.82442591178213], [2.336138839161664, 48.82416433574128], [2.336198992557852, 48.824229091265984], [2.3382854748933433, 48.824466127340536], [2.338285440822663, 48.824468811796386]]], ""type"": ""Polygon""}";48.824314345368435,2.3371706142604314
CP002228;;75017;9;1;Mission Vélos / STV;REAMENAGEMENT_VOIRIE;Pérennisation de la piste provisoire de l'Avenue de Clichy;Avenue de Clichy;"entre la rue Ganeron et la place de Clichy
Mise en impasse rue Capron depuis rue Cavallotti
Fermeture de l'impasse de la Défense";2022-01-19;2022-03-04;RESTREINTE;mise à sens unique dans le sens Fourche vers la place de Clichy.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Clichy Phase 2.pdf;"{""coordinates"": [[[2.326525054617528, 48.88595502285947], [2.327415399041632, 48.8838547938535], [2.327122680947668, 48.8838209260662], [2.32621742812403, 48.8858136594704], [2.326525054617528, 48.88595502285947]]], ""type"": ""Polygon""}";48.88489268676634,2.326807544443079
